domain	ip	lat	long
199.125.85.46	199.125.85.46	42.9956	-71.4553
www.embed.com.cn	203.86.7.136	22.55	114.1
www.networksorcery.com	66.27.58.123	32.44	-117.1
www.robsite.de	209.20.93.92	52.517	13.4
www.teco.uni-karlsruhe.de	129.13.170.141	49.0	8.24
www.vorlesungen.uni-osnabrueck.de	131.173.244.34	52.2	8.1
www-pu.informatik.uni-tuebingen.de	134.2.12.37	48.52	9.055556
hea-www.harvard.edu	131.142.41.10	42.373611	-71.110556
www.isi.edu	128.9.176.20	33.979444	-118.452778
web.mit.edu	18.9.22.69	42.373611	-71.110556
www.teco.edu	129.13.170.82	49.0	8.24
ftp.ics.uci.edu	128.195.1.219	33.6403	-117.7694
abcdrfc.online.fr	212.27.63.149	48.856667	2.350833
web.fis.unico.it	193.206.165.11	41.9	12.5
omega.di.unipi.it	131.114.3.241	43.716667	10.4
www.nendai.nagoya-u.ac.jp	133.6.144.214	35.683333	139.766667
rfc.netvolante.jp	211.133.249.144	36.0205294	138.2465574
www.potaroo.net	203.119.0.116	-35.2828	149.1314
www.cs.vu.nl	130.37.20.20	52.373056	4.892222
www.ii.uib.no	129.177.16.249	60.3911	5.3247
www.freesoft.org	208.109.220.41	33.6119	-111.8907
ietfreport.isoc.org	203.119.0.116	-27.5	153.0167
paginas.fe.up.pt	193.136.28.31	41.15	-8.6167
dbweb.csie.ncu.edu.tw	140.115.51.50	24.9869	121.3056
www-uxsup.csx.cam.ac.uk	131.111.8.10	52.2	0.1167
ftp.univie.ac.at	131.130.1.72	48.2	16.3667
tecfa.unige.ch	129.194.9.47	46.2	6.1667
www2.cs.uh.edu	129.7.240.35	29.834	-95.4342
www.watersprings.org	210.138.117.124	35.685	139.7514
www.simplefailover.com	77.68.170.100	57.4333	10.5333
curl.rtin.bz	87.72.248.27	55.6667	12.5833
tinf2.vub.ac.be	134.184.65.2	50.8333	4.3333
plan9.aichi-u.ac.jp	202.250.160.122	36.0	138.0
www.ihelpers.co.kr	210.116.115.1	37.5664	126.9997
rfc.linuxbroker.com	212.53.102.22	47.0	8.0
curl.nedmirror.nl	85.12.47.162	51.45	5.4667
sunsite.icm.edu.pl	193.219.28.2	52.25	21.0
look4docs.com	208.64.120.59	36.8463	-76.0979
vcs.es.net	198.128.3.92	38.1129	-122.1331
www.buzzsaw.info	70.89.155.77	47.5951	-122.3326
www.cs.huji.ac.il	132.65.16.18	31.78	35.23
curl.hkmirror.org	85.12.47.162	51.45	5.4667
www.ietf.org via webwarper.net	69.41.173.145	32.8019	-96.7884
www.ietf.org	64.170.98.32	37.5353	-121.9793
curl.haxx.se	91.191.140.28	59.45	17.9167
www.w3.org	128.30.52.168	42.3646	-71.1028
www.rfc-editor.org	128.9.160.27	33.9777	-118.4351
ftp.ring.gr.jp	133.186.4.15	36.0	138.0
www.nordu.net	193.10.252.19	59.3333	18.05
ftp.nsysu.edu.tw	140.117.11.7	22.6333	120.35
rfc-jp.nic.ad.jp	202.12.30.234	35.3167	139.35
